id,uid,uid_target
1,98,571
2,732,993
3,715,814
4,666,898
5,753,828
6,485,444
7,227,252
8,920,153
9,453,291
10,19,649
11,436,207
12,745,836
13,667,764
14,304,402
15,332,216
16,667,822
17,434,273
18,772,903
19,113,530
20,229,490
21,415,245
22,639,129
23,552,153
24,155,592
25,15,642
26,664,40
27,149,601
28,552,139
29,523,31
30,664,133
31,493,481
32,24,528
33,930,49
34,610,144
35,614,18
36,273,325
37,700,797
38,452,352
39,579,80
40,664,99
41,655,44
42,527,162
43,809,810
44,312,242
45,681,734
46,695,794
47,266,197
48,798,998
49,107,566
50,328,248

