id,uid,uid_target
1,63,531
2,74,523
3,158,622
4,128,587
5,74,557
6,53,629
7,130,658
8,162,566
9,5,587
10,116,559
11,111,634
12,20,513
13,67,545
14,139,665
15,11,587
16,127,571
17,90,574
18,32,503
19,148,537
20,52,569
21,26,613
22,40,608
23,140,528
24,142,605
25,17,657
26,71,510
27,135,542
28,138,509
29,119,575
30,7,657
31,101,537
32,122,547
33,162,565
34,104,617
35,8,511
36,156,542
37,60,560
38,95,607
39,69,551
40,127,515
41,79,512
42,163,511
43,102,502
44,11,596
45,43,547
46,150,584
47,77,653
48,41,535
49,152,653
50,55,512
51,99,526
52,108,561
53,21,625
54,121,542
55,161,561
56,105,660
57,75,609
58,39,660
59,134,534
60,137,606
61,84,513
62,38,583
63,55,545
64,1,506
65,35,571
66,47,523
67,165,539
68,104,583
69,77,550
70,57,593
71,67,553
72,81,542
73,46,641
74,45,567
75,110,581
76,149,558
77,55,562
78,42,645
79,56,530
80,82,650
81,67,625
82,105,644
83,46,596
84,141,646
85,40,642
86,160,552
87,145,620
88,12,612
89,42,583
90,116,508
91,60,638
92,162,628
93,148,642
94,154,630
95,133,529
96,109,510
97,97,611
98,80,627
99,98,619
100,21,659
101,40,603
102,138,539
103,63,555
104,163,603
105,4,511
106,68,594
107,146,531
108,128,652
109,11,654
110,62,514
111,113,587
112,94,637
113,51,609
114,123,636
115,26,602
116,32,563
117,164,578
118,140,653
119,60,575
120,85,521
121,117,542
122,153,517
123,160,501
124,115,539
125,66,630
126,110,557
127,50,586
128,45,664
129,37,519
130,64,624
131,123,513
132,66,561
133,68,574
134,85,590
135,127,506
136,61,617
137,166,656
138,93,578
139,109,661
140,131,617
141,45,591
142,132,549
143,19,594
144,26,640
145,17,552
146,140,630
147,21,512
148,44,627
149,97,571
150,92,608
151,85,592
152,162,620
153,167,632
154,23,661
155,114,626
156,23,530
157,34,550
158,155,623
159,149,662
160,20,629
161,165,619
162,32,505
163,101,525
164,19,578
165,142,519
166,101,651
167,123,601
168,49,924
169,14,962
170,53,890
171,96,972
172,155,884
173,58,857
174,68,843
175,55,892
176,58,957
177,148,853
178,63,886
179,25,905
180,38,925
181,42,928
182,137,901
183,110,880
184,38,967
185,135,896
186,111,892
187,148,852
188,120,990
189,105,948
190,70,974
191,117,947
192,122,896
193,133,986
194,140,966
195,97,988
196,132,907
197,144,855
198,128,975
199,124,841
200,11,944
201,124,930
202,16,849
203,54,959
204,38,893
205,151,905
206,35,923
207,33,911
208,155,945
209,49,945
210,34,878
211,82,871
212,44,913
213,136,855
214,97,999
215,60,847
216,115,976
217,51,888
218,131,852
219,60,854
220,65,911
221,39,835
222,53,887
223,42,849
224,25,884
225,158,959
226,161,945
227,81,871
228,98,844
229,10,890
230,108,846
231,136,897
232,138,865
233,167,904
234,131,867
235,81,977
236,54,908
237,97,982
238,65,851
239,120,963
240,85,963
241,6,978
242,30,879
243,62,852
244,96,990
245,97,999
246,131,984
247,117,961
248,126,930
249,166,921
250,4,912
251,160,844
252,85,870
253,56,962
254,165,938
255,137,919
256,36,953
257,127,989
258,23,893
259,13,895
260,157,974
261,72,861
262,54,953
263,136,904
264,153,836
265,155,940
266,98,935
267,123,943
268,137,946
269,56,910
270,52,872
271,40,914
272,61,896
273,64,867
274,7,898
275,74,960
276,64,852
277,139,884
278,117,956
279,112,910
280,134,872
281,62,849
282,160,987
283,69,929
284,25,991
285,125,996
286,13,858
287,62,980
288,77,922
289,15,864
290,111,913
291,97,971
292,148,998
293,57,864
294,161,851
295,35,955
296,128,939
297,146,859
298,34,968
299,81,963
300,137,909
301,120,984
302,157,953
303,166,990
304,20,914
305,79,886
306,102,975
307,97,945
308,59,849
309,76,927
310,11,849
311,100,892
312,37,971
313,37,960
314,167,991
315,160,939
316,38,921
317,142,893
318,5,865
319,37,927
320,142,896
321,15,864
322,98,967
323,118,942
324,133,969
325,39,983
326,157,974
327,166,965
328,8,990
329,142,882
330,167,865
331,114,946
332,66,954
333,74,980
334,39,968
335,239,227
336,207,238
337,283,262
338,176,443
339,294,386
340,225,492
341,191,464
342,309,350
343,255,202
344,188,234
345,285,449
346,172,394
347,245,368
348,274,335
349,235,194
350,236,481
351,284,465
352,210,417
353,305,337
354,307,381
355,216,315
356,305,228
357,220,468
358,183,445
359,255,264
360,274,176
361,321,211
362,309,181
363,288,256
364,304,295
365,286,470
366,183,261
367,247,457
368,292,326
369,218,258
370,248,315
371,313,307
372,199,278
373,225,413
374,274,420
375,311,239
376,240,243
377,223,449
378,190,255
379,320,205
380,240,446
381,328,462
382,187,292
383,318,468
384,196,282
385,303,220
386,293,354
387,221,197
388,308,366
389,201,296
390,295,316
391,262,481
392,179,306
393,255,223
394,262,252
395,210,398
396,200,200
397,252,495
398,220,454
399,171,396
400,245,294
401,276,492
402,226,300
403,272,280
404,235,224
405,280,280
406,314,197
407,249,317
408,298,244
409,310,184
410,294,479
411,252,217
412,323,253
413,240,311
414,211,172
415,177,336
416,304,330
417,278,468
418,272,419
419,196,219
420,174,266
421,318,484
422,226,323
423,324,228
424,205,344
425,219,205
426,220,423
427,206,171
428,173,251
429,307,364
430,320,483
431,187,384
432,202,444
433,189,416
434,182,455
435,193,238
436,306,363
437,219,484
438,306,237
439,248,329
440,198,449
441,299,208
442,265,341
443,322,480
444,271,347
445,219,186
446,297,244
447,318,258
448,169,246
449,322,400
450,254,289
451,317,227
452,239,432
453,307,415
454,307,342
455,325,209
456,242,268
